# мягкий режим, 10 В (предел 30 В), амплитуда 25 В (предел 100 В) 
# колебания рождаются мягко. Частота автогенератора 424.67 кГц
# ampl1  -- слабый, 700 мВ внешнее воздействие

# kHz	V, u=0.7В
omega	ampl1
416.88	18	
417	19
417.5	23
418	26
418.5	27.5
419	30
419.5	30.5
420	31
420.5	31
421	30.5
421.5	29
421.88	25

# kHz	V, u=0.4В
omega	ampl2
418.23	21
418.5	24
418.75	25
419	26.5
419.25	27
419.50	27.5
419.75	28
420	28
420.25	28
420.50	27.5
420.75	27
420.933	25

# kHz	V, u=1.4В 
omega	ampl3
412.5	13	
413	15
414	18
415	21
416	25
417	29
418	32
419	34
420	35
421	35
422	34
423	31
423.5	28.5
424	24
424.5	15
424.6	13
# обратно небольшой гистерезис на левой границе
412.5	13
412.2	12
412	11.8
411.5	10
411.4	10

# kHz	V, u=1.7В 
omega	ampl4
410.8	12
412	15
413	18
414	20
415	25
416	28
417	31
418	34
419	35
420	36
421	36.5
422	36
423	39
424	30
425	23
426	15
426.5	13
