# мягкий режим, 10 В (предел 30 В), амплитуда 25 В (предел 100 В) 
# колебания рождаются мягко. Частота автогенератора 424.67 кГц

#V	
u	omega4 	A4	omega3	omega1	omega2
0.5	421.11	24.5	421.10	417.710	417.710
0.6	421.43	23	421.39	417.23	417.25	
0.7	421.72	24	421.71	416.64	416.65
0.8	422.02	23	422.01	416.12	416.16
0.9	422.33	22	422.32	415.36	415.39
1	422.66	21.5	422.63	414.52	414.68
1.1	423.01	21	422.97	413.46	414.10
1.2	423.39	20	423.38	412.76	413.58
1.3	423.77	17	423.76	411.94	412.93
1.4	424.43	12	424.41	411.30	412.46
1.5	425.13	11.5	425.04	410.55	411.84
